cod|title|prezzo_vendita
3349668612598|HTTP Product 3349668612598|10.50
3386460101042|HTTP Product 3386460101042|12.00
3423478504059|HTTP Product 3423478504059|15.50
3423478925656|HTTP Product 3423478925656|20.50
3614272225695|HTTP Product 3614272225695|25.50
6085010094977|HTTP Product 6085010094977|30.50
6291108730515|HTTP Product 6291108730515|35.50
7640177366009|HTTP Product 7640177366009|40.50
7640496670146|HTTP Product 7640496670146|45.50
8011003809196|HTTP Product 8011003809196|50.50
8011003838004|HTTP Product 8011003838004|55.50
8011003852727|HTTP Product 8011003852727|60.50
8011003996179|HTTP Product 8011003996179|65.50
8011003997008|HTTP Product 8011003997008|70.50
8018365071162|HTTP Product 8018365071162|75.50
8052086373969|HTTP Product 8052086373969|80.50
8052464891603|HTTP Product 8052464891603|85.50
