sku,titolo_prodotto,prezzo
MKP-001,Chabaud Lait Concentre Eau de Toilette 30 ml,45.00
MKP-002,Montblanc Legend Eau de Toilette 30 ml,38.50
MKP-003,Liu Jo Silkway Eau de Toilette 30 ml,32.00
MKP-004,Helan Cocomint Eau De Toilette 30 ml,28.90
MKP-005,Coach Eau De Toilette 30 ml,42.00
MKP-006,Sothys Mascara Essentiel Nero,25.00
MKP-007,Astra Make-Up Mascara Allungante Nero Intenso,8.90
MKP-008,Frais Monde Mascara Nero Intenso Volume,12.50
MKP-009,Procosmet Rossetto Matte Macaroni,15.00
MKP-010,Nee Makeup Rossetto Matte Cabaret 164,18.00
MKP-011,MAC Powder Kiss Lipstick,22.00
MKP-012,MAC Maximal Silky Matte Viva Glam,24.00
MKP-013,Sephora Collection Cream Lip Stain Mat,10.99
MKP-014,Huda Beauty Lip Contour 2.0,19.00
MKP-015,Charlotte Tilbury Matte Revolution,32.00
MKP-016,Gucci Rouge a Levres Mat,40.00
MKP-017,Maybelline SuperStay Matte Ink,11.50
MKP-018,L'Oreal Paris Color Riche Matte,13.00
MKP-019,Kiko Milano Velvet Passion Matte Lipstick,9.99
MKP-020,Dior Rouge Dior Matte,45.00
